ReqID,TestID,File/Spec,FirstCommit,FirstCommitDate,LastCommit,LastCommitDate,PR/Commit,Type,Result
AR-TESTINFRA,_helpers,backend/tests/_helpers.py,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,Other,
AR-TESTINFRA,conftest,backend/tests/conftest.py,5d8f4a55,2025-09-11T13:49:35-04:00,2ebd23f5,2025-10-29T22:44:18-04:00,2ebd23f5,Other,
AR-TESTINFRA,test_anomaly_api,backend/tests/test_anomaly_api.py,d7132f4d,2025-09-25T17:14:47-04:00,ff9801a0,2025-10-18T10:07:28-04:00,ff9801a0,Other,
AR-TESTINFRA,test_anomaly_edges,backend/tests/test_anomaly_edges.py,f1180a5f,2025-10-01T13:25:38-04:00,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,Other,
AR-TESTINFRA,test_anomaly_httpx,backend/tests/test_anomaly_httpx.py,f1180a5f,2025-10-01T13:25:38-04:00,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,Other,
AR-TESTINFRA,test_anomaly_iforest,backend/tests/test_anomaly_iforest.py,6ef1df17,2025-10-02T17:35:31-04:00,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,Other,
AR-TESTINFRA,test_anomaly_iforest_api,backend/tests/test_anomaly_iforest_api.py,6ef1df17,2025-10-02T17:35:31-04:00,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,Other,
AR-TESTINFRA,test_anomaly_iforest_module_imports,backend/tests/test_anomaly_iforest_module_imports.py,5916be48,2025-10-23T15:45:18-04:00,5916be48,2025-10-23T15:45:18-04:00,5916be48,Other,
AR-TESTINFRA,test_anomaly_iforest_router_extra,backend/tests/test_anomaly_iforest_router_extra.py,91c9887e,2025-10-25T13:09:39-04:00,91c9887e,2025-10-25T13:09:39-04:00,91c9887e,Other,
AR-TESTINFRA,test_anomaly_router_unit,backend/tests/test_anomaly_router_unit.py,f1180a5f,2025-10-01T13:25:38-04:00,f1180a5f,2025-10-01T13:25:38-04:00,f1180a5f,Other,
FR-11,test_cov_bump_forecast,backend/tests/test_cov_bump_forecast.py,18efd7d5,2025-10-28T14:33:54-04:00,18efd7d5,2025-10-28T14:33:54-04:00,18efd7d5,Other,
AR-DB,test_db_bootstrap,backend/tests/test_db_bootstrap.py,5916be48,2025-10-23T15:45:18-04:00,5916be48,2025-10-23T15:45:18-04:00,5916be48,Other,
AR-DB,test_db_session_config,backend/tests/test_db_session_config.py,91c9887e,2025-10-25T13:09:39-04:00,91c9887e,2025-10-25T13:09:39-04:00,91c9887e,Other,
FR-12,test_envelopes_and_errors,backend/tests/test_envelopes_and_errors.py,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,Other,
FR-8,test_export_csv_api,backend/tests/test_export_csv_api.py,d7132f4d,2025-09-25T17:14:47-04:00,d7132f4d,2025-09-25T17:14:47-04:00,d7132f4d,Other,
FR-5,test_forecast_api,backend/tests/test_forecast_api.py,3f6afb9a,2025-10-03T14:49:40-04:00,76cf164d,2025-10-25T02:05:21-04:00,76cf164d,Other,
FR-5,test_forecast_end_to_end_target_date,backend/tests/test_forecast_end_to_end_target_date.py,c296ff07,2025-10-08T23:57:37-04:00,c296ff07,2025-10-08T23:57:37-04:00,c296ff07,Other,
FR-5,test_forecast_health_api,backend/tests/test_forecast_health_api.py,03b31b01,2025-10-23T17:53:09-04:00,03b31b01,2025-10-23T17:53:09-04:00,03b31b01,Other,
FR-5,test_forecast_health_service,backend/tests/test_forecast_health_service.py,03b31b01,2025-10-23T17:53:09-04:00,03b31b01,2025-10-23T17:53:09-04:00,03b31b01,Other,
FR-11,test_forecast_reliability_router_cov,backend/tests/test_forecast_reliability_router_cov.py,2ebd23f5,2025-10-29T22:44:18-04:00,2ebd23f5,2025-10-29T22:44:18-04:00,2ebd23f5,Other,
FR-11,test_forecast_reliability_service_unit,backend/tests/test_forecast_reliability_service_unit.py,2ebd23f5,2025-10-29T22:44:18-04:00,2ebd23f5,2025-10-29T22:44:18-04:00,2ebd23f5,Other,
FR-5,test_forecast_sarimax_fallback,backend/tests/test_forecast_sarimax_fallback.py,91c9887e,2025-10-25T13:09:39-04:00,91c9887e,2025-10-25T13:09:39-04:00,91c9887e,Other,
FR-5,test_forecast_service,backend/tests/test_forecast_service.py,3f6afb9a,2025-10-03T14:49:40-04:00,3f6afb9a,2025-10-03T14:49:40-04:00,3f6afb9a,Other,
NFR-HEALTH,test_health_smoke,backend/tests/test_health_smoke.py,5916be48,2025-10-23T15:45:18-04:00,5916be48,2025-10-23T15:45:18-04:00,5916be48,Other,
AR-DB,test_import_db_touch,backend/tests/test_import_db_touch.py,5916be48,2025-10-23T15:45:18-04:00,5916be48,2025-10-23T15:45:18-04:00,5916be48,Other,
FR-2,test_ingest_raw_json,backend/tests/test_ingest_raw_json.py,d7132f4d,2025-09-25T17:14:47-04:00,d7132f4d,2025-09-25T17:14:47-04:00,d7132f4d,Other,
FR-2,test_ingestion_api,backend/tests/test_ingestion_api.py,5d8f4a55,2025-09-11T13:49:35-04:00,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,Other,
FR-2,test_ingestion_service_unit,backend/tests/test_ingestion_service_unit.py,91c9887e,2025-10-25T13:09:39-04:00,91c9887e,2025-10-25T13:09:39-04:00,91c9887e,Other,
FR-3,test_kpi,backend/tests/test_kpi.py,88fbaa0a,2025-09-14T12:37:37-04:00,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,Other,
FR-3,test_kpi_daily,backend/tests/test_kpi_daily.py,9a9a48b7,2025-09-17T18:37:15-04:00,76cf164d,2025-10-25T02:05:21-04:00,76cf164d,Other,
FR-3,test_kpi_service_elsebranch,backend/tests/test_kpi_service_elsebranch.py,f1180a5f,2025-10-01T13:25:38-04:00,f1180a5f,2025-10-01T13:25:38-04:00,f1180a5f,Other,
FR-3,test_kpi_service_smoke,backend/tests/test_kpi_service_smoke.py,f5dc0406,2025-09-18T21:38:37-04:00,f5dc0406,2025-09-18T21:38:37-04:00,f5dc0406,Other,
FR-3,test_kpi_service_unit_extended,backend/tests/test_kpi_service_unit_extended.py,91c9887e,2025-10-25T13:09:39-04:00,91c9887e,2025-10-25T13:09:39-04:00,91c9887e,Other,
FR-3,test_kpi_variants,backend/tests/test_kpi_variants.py,f1180a5f,2025-10-01T13:25:38-04:00,f1180a5f,2025-10-01T13:25:38-04:00,f1180a5f,Other,
